ASSETNUM;DESCRIPTION;PLUSTMODEL;PLUSTYEAR;ORGID;STATUS;ALNVALUE;DESCRIPTION_1;ASSETTYPE
10004;MB NEW TOURISMO RHD Euro VI;737;2018;EURO;OPERATING;1;Diesel;FLEET
10065;S 519 HD Euro 6;631;2018;EURO;OPERATING;1;Diesel;FLEET
10364;S 519 HD Euro 6;631;2019;EURO;OPERATING;1;Diesel;FLEET
10365;S 519 HD Euro 6;631;2019;EURO;OPERATING;1;Diesel;FLEET
10366;S 519 HD Euro 6;631;2019;EURO;OPERATING;1;Diesel;FLEET
10369;S 519 HD Euro 6;631;2019;EURO;OPERATING;1;Diesel;FLEET
10370;S 519 HD Euro 6;631;2019;EURO;OPERATING;1;Diesel;FLEET
10371;S 519 HD Euro 6;631;2019;EURO;OPERATING;1;Diesel;FLEET
10372;S 519 HD Euro 6;631;2019;EURO;OPERATING;1;Diesel;FLEET
10380;S 519 HD Euro 6;631;2022;EURO;OPERATING;1;Diesel;FLEET
10381;S 519 HD Euro 6;631;2022;EURO;OPERATING;1;Diesel;FLEET
10382;S 519 HD Euro 6;631;2022;EURO;OPERATING;1;Diesel;FLEET
10383;S 519 HD Euro 6;631;2022;EURO;OPERATING;1;Diesel;FLEET
10384;S 519 HD Euro 6;631;2023;EURO;OPERATING;1;Diesel;FLEET
10385;S 519 HD Euro 6;631;2022;EURO;OPERATING;1;Diesel;FLEET
10387;S 519 HD Euro 6;631;2022;EURO;OPERATING;1;Diesel;FLEET
10389;S 519 HD Euro 6;631;2022;EURO;OPERATING;1;Diesel;FLEET
10390;S 519 HD Euro 6;631;2022;EURO;OPERATING;1;Diesel;FLEET
10391;S 519 HD Euro 6;631;2022;EURO;OPERATING;1;Diesel;FLEET
10393;S 519 HD Euro 6;631;2019;EURO;OPERATING;1;Diesel;FLEET
10394;S 519 HD Euro 6;631;2019;EURO;OPERATING;1;Diesel;FLEET
10395;S 519 HD Euro 6;631;2019;EURO;OPERATING;1;Diesel;FLEET
10396;S 519 HD Euro 6;631;2019;EURO;OPERATING;1;Diesel;FLEET
10400;S 519 HD Euro 6;631;2019;EURO;OPERATING;1;Diesel;FLEET
10404;S 519 HD Euro 6;631;2019;EURO;OPERATING;1;Diesel;FLEET
10405;S 519 HD Euro 6;631;2019;EURO;OPERATING;1;Diesel;FLEET
10406;S 519 HD Euro 6;631;2019;EURO;OPERATING;1;Diesel;FLEET
10407;S 519 HD Euro 6;631;2019;EURO;OPERATING;1;Diesel;FLEET
10408;S 519 HD Euro 6;631;2019;EURO;OPERATING;1;Diesel;FLEET
10409;S 519 HD Euro 6;631;2019;EURO;OPERATING;1;Diesel;FLEET
10410;S 519 HD Euro 6;631;2019;EURO;OPERATING;1;Diesel;FLEET
10411;S 519 HD Euro 6;631;2019;EURO;OPERATING;1;Diesel;FLEET
10412;S 519 HD Euro 6;631;2019;EURO;OPERATING;1;Diesel;FLEET
10413;S 519 HD Euro 6;631;2019;EURO;OPERATING;1;Diesel;FLEET
10414;S 519 HD Euro 6;631;2019;EURO;OPERATING;1;Diesel;FLEET
10415;S 519 HD Euro 6;631;2019;EURO;OPERATING;1;Diesel;FLEET
10424;S 519 HD Euro 6;631;2020;EURO;OPERATING;1;Diesel;FLEET
10425;S 519 HD Euro 6;631;2020;EURO;OPERATING;1;Diesel;FLEET
10426;S 519 HD Euro 6;631;2020;EURO;OPERATING;1;Diesel;FLEET
10427;S 519 HD Euro 6;631;2020;EURO;OPERATING;1;Diesel;FLEET
10428;SCANIA K490 EB 6X2 D. PISO EURO VI;512;2021;EURO;OPERATING;1;Diesel;FLEET
10429;S 519 HD-SUPRA  Euro 6;642;2022;EURO;OPERATING;1;Diesel;FLEET
10430;S 519 HD-SUPRA  Euro 6;642;2022;EURO;OPERATING;1;Diesel;FLEET
10436;S 519 HD Euro 6;631;2020;EURO;OPERATING;1;Diesel;FLEET
10437;S 519 HD Euro 6;631;2020;EURO;OPERATING;1;Diesel;FLEET
