TICKETID;ASSETNUM;DESCRIPTION;CLASSSTRUCTUREID;REPORTDATE;REPORTEDBY;SITEID;STATUS;STATUSDATE
1817248;10818;-;4131;2/13/2024 10:05 PM;0009126;;NOPRO;2/14/2024 7:03 AM
1817260;13306;IMPRESORA MAL;1688;2/13/2024 10:41 PM;0052743;;CLOSED;6/23/2024 3:33 PM
1792704;13306;GRIFO ROTO;;1/3/2024 10:14 PM;288;;CLOSED;4/28/2024 2:19 PM
1792604;3421;Retirada de Nauta y F. Alimentacion;;1/3/2024 5:09 PM;SAE1;;CLOSED;4/14/2024 3:43 PM
0125-2024-000003;13242;Roce lateral izquierdo parte trasera;1845;1/2/2024 3:52 PM;MXINTADM;362;CLOSED;3/2/2025 4:13 PM
1796555;11281;asiento 25. soporte por donde se recoge el cinturón roto.....mirar la maquinaria.;1710;1/10/2024 10:59 AM;0005525;;CLOSED;5/5/2024 2:44 PM
1796576;3832;Sin potencia en subidas;1516;1/10/2024 12:27 PM;0011078;;CLOSED;4/21/2024 3:58 PM
1793682;10004;No funciona por alguna causa el programador del calefactor, esta encendido el testigo del calefacto;1598;1/5/2024 9:28 AM;0002078;;CLOSED;4/14/2024 3:15 PM
1793685;11161;varios fallos encendidos en cuadro;1636;1/5/2024 9:36 AM;0015073;;CLOSED;6/2/2024 2:59 PM
1793819;4044;tornillo polea guia superior correa bomba agua cabeza pasada;;1/5/2024 10:07 PM;115;154;CLOSED;6/9/2024 2:08 PM
1793820;4044;torpress 1º eje;;1/5/2024 10:08 PM;115;154;CLOSED;5/19/2024 3:56 PM
1796608;10371;Cambio solo funciona en manual;1532;1/10/2024 1:44 PM;0019310;;CLOSED;5/5/2024 2:50 PM
1796609;10371;no funciona.;1682;1/10/2024 1:44 PM;0019310;;CLOSED;5/5/2024 2:50 PM
1796610;10425;¿puerta trasera?;1777;1/10/2024 1:47 PM;0017581;;CLOSED;5/5/2024 4:19 PM
1796627;11170;LUNA DELANTERA MUY RAJADA;1799;1/10/2024 2:49 PM;0037646;;CLOSED;4/21/2024 4:45 PM
1796634;13023;No se oye en el piso superior;1680;1/10/2024 3:16 PM;0053716;;CLOSED;4/28/2024 2:25 PM
1793821;4044;piloto antiniebla t.izqui roto;;1/5/2024 10:09 PM;115;154;CLOSED;5/5/2024 6:07 PM
1793824;4044;Cambiar puesta en marcha el coche no arranca;;1/5/2024 10:37 PM;115;154;CLOSED;4/14/2024 3:04 PM
1794188;10436;Pierde anticongelante;;1/6/2024 2:25 PM;115;154;CLOSED;4/21/2024 3:28 PM
1796636;11309;Nevera no funciona;1936;1/10/2024 3:27 PM;0036182;;CLOSED;6/2/2024 2:54 PM
1796685;3892;chapa.golpes;;1/10/2024 5:10 PM;152;;CLOSED;4/21/2024 4:26 PM
1794650;10429;luna parabrisas muy rota;;1/7/2024 12:44 PM;115;154;CLOSED;5/26/2024 2:06 PM
1795278;3704;cambiar brazos inferiores 2º eje;;1/8/2024 1:35 PM;115;154;CLOSED;4/21/2024 3:29 PM
0203-2024-000042;3333;ESQUINA DELANTERA IZQUIERDA;1845;1/8/2024 4:58 PM;MXINTADM;368;RESOLVED;2/19/2024 4:58 PM
1791664;11935;Vehiculo 11935 supera 80 dias sin descargar. Ultima registrada el 21/08/2023;4125;1/2/2024 7:00 AM;MAXADMIN;;RESOLVED;1/2/2024 1:32 PM
1791712;4995;Vehiculo 4995 supera 80 dias sin descargar. Ultima registrada el 09/10/2023;4125;1/2/2024 7:00 AM;MAXADMIN;;CLOSED;4/14/2024 2:17 PM
1792546;13244;No cierra bien ( mucho ruido en marcha);1775;1/3/2024 2:29 PM;0060257;;CLOSED;4/28/2024 2:20 PM
1792564;13012;Ventanilla no funciona;2022;1/3/2024 3:14 PM;0015743;;CLOSED;5/19/2024 3:18 PM
1792634;10427;La tapa del gasoil se abre sola;1779;1/3/2024 6:45 PM;0052044;;CLOSED;5/5/2024 6:23 PM
1792644;13055;Luna delantera muy rajada;1799;1/3/2024 7:45 PM;0003044;;CLOSED;8/11/2024 2:08 PM
